RUN AT 08 36 04 25 Apr 2021 - Python Output aymhenry@gmail
Value
CERA App from Fortran To Python
Python 3.8.3 
==============
1,,,CABINET LOADS DATA
  1, #, IRFTYP, Configration (1 to 5)
      0.92, watt, FFASHW,Fresh food antisweat heater
      0.00,watt, FFAUXW, Fresh food auxiliary power
      1.83, watt, FZASHW, Freezer antisweat heater
      0.00, watt, FZAUXW, Freezer auxiliary power
      0.00, watt, OTHERW, Outside cabinet power
     32.22, DEG C, TROOM, Room temperature 
      3.33, DEG C, TFF, Fresh food temperature 
    -15.00, DEG C, TFRZ, Freezer temperature
2,,,HEAT LEAK BREAKDOWN
     39.14, watt, FFQ, Fresh food net load
     36.55, watt, FZQOFF, Freezer load
      0.00, watt, FFSEN, Fresh food door sensible load
      0.00, watt, FFLAT, Fresh food door condensation load
      0.00, watt, FROSTF, Fresh food door frost load
      0.00, watt, FZSEN, Freezer door sensible load
      0.00, watt, FZLAT, Freezer door condensation load
      0.00, watt, FROSTZ, Freezer door frost load
      0.00, watt, FFPENA, Fresh food penetrations
      0.00, watt, FZPENA, Freezer penetrations
      0.69, watt, FFHTQ, Fresh food heaters and controls
      1.38, watt, FZHTQ, Freezer heaters and controls
      0.00, watt, FFREFQ, Fresh food refrigerant line
      1.20, watt, FZREFQ, Freezer refrigerant line
      2.60, watt, QMUL, Mullion heat load
