Cabinet Loads Data
      0.92,W ,Fresh food antisweat heater
      0.00,W ,Fresh food auxiliary power
      1.83,W ,Freezer antisweat heater
      0.00,W ,Freezer auxiliary power
      0.00,W ,Outside cabinet power,
     32.22,DEG C ,Room temperature 
      3.33,DEG C ,Fresh food temperature 
    -15.00,DEG C ,Freezer temperature
HEAT LEAK BREAKDOWN
(W) ,Description
     39.14 ,Fresh food net load
     36.55 ,Freezer load
      0.00 ,Fresh food door sensible load
      0.00 ,Fresh food door condensation load
      0.00 ,Fresh food door frost load
      0.00 ,Freezer door sensible load
      0.00 ,Freezer door condensation load
      0.00 ,Freezer door frost load
      0.00 ,Fresh food penetrations
      0.00 ,Freezer penetrations
      0.69 ,Fresh food heaters and controls
      1.38 ,Freezer heaters and controls
      0.00 ,Fresh food refrigerant line
      1.20 ,Freezer refrigerant line
      2.60 ,Mullion heat load
