Value,Unit,Var,Desc,Ser,,,,,
CERA App from Fortran To Python,-,Title1,User Comment Line 1,1,Configration   4,,,,
Python 3.8.3 ,-,Title2,User Comment Line 2,2,Save this sheet as CSV ,,,,
==============,-,Title3,User Comment Line 3,3,Name : Cabinet_dat.csv,,,,
Mode 5,-,Title4,User Comment Line 4,4,,,,,
15/7/2020  3:35,-,Title5,User Comment Line 5,5,,Other Information,,,
4,-,IRFTYP,Configration Type,6,,Configration 4,,,Mode 5
156.21,cm,HEIGHT,Overall Height,7,,4: Chest freezer,,,
76.2,cm,WIDTH,Overall Width,8,,,Mode :5,Chest freezer,
71.75,cm,DEPTH,Overall: Depth,9,,,,,
999999,<NA>,DOOREDG,Not Used In Calculation (kept for compatability),10,,,,,
1.59,cm,DGSKT,Door Gasket Thickness,11,,,,,
20,cm,CWIDE,Compressor Compartment Width,12,,,,,
20,cm,CHGT,The Height Of The Compressor Compartment,13,,,,,
0.5,mm,DOL,Thickness Of Outer Liner,14,,,,,
41,W/m-C,COL,Outer Liner Thermal Conductivity,15,,,,,
0.5,mm,DIL,Thickness Of Inner Liner,16,,,,,
41,W/m-C,CIL,Inner Liner Thermal Conductivity,17,,,,,
6.03,cm,TIFT,Insulation Thickness Freezer Top,18,,,,,
6.03,cm,TIFRS,Insulation Thickness Freezer Right Side,19,,,,,
4.45,cm,TIFF,Insulation Thickness Freezer Front  Front (Door),20,,,,,
6.03,cm,TIFB,Insulation Thickness Freezer Back,21,,,,,
5.08,cm,BINSUL,Insulation thickness on the bottom,22,,,,,
5.53,cm,CINSUL,Cinsul-Thickness Of Insulation Over Compressor ,23,,,,,
5.08,cm,SCIN,Thickness Of Insulation On Side Of Compressor Compartment,24,,,,,
5.08,cm,STIN,Thickness Of Insulation On Top Of Compressor Compartment,25,,,,,
21.01,liter,HXVUZ,Freezer Refrigerated Volume Shelf/Evap,26,,,,,
135.07,liter,VOLAZ,Freezer Refrigerated Volume Net Volume,27,,,,,
32.22,C,TROOM,Temperatures Room,28,,,,,
-15,C,TFRZ,Temperatures Freezer Cabinet ,29,,,,,
37.8,C,TBTM,Temperatures  Air Under Refrigerator,30,,,,,
0.555,cm.W/m2-C,RCAB,Thermal Conductivity Of Refrigerator Insulation,31,,,,,
0.555,cm.W/m2-C,RTOP,Thermal Conductivity Of Insulation In Top Of Chest Freezer,32,,,,,
0.09,W/M-DEG-C,HLFZG,Gasket Heat Leak Freezer Conductivity,33,,,,,
32.2,C,TDRAIR,Door Openings Air Temperature,34,,,,,
50,%,RELHUM,Door Openings  Relative Humidity ,35,,,,,
0,Seconds,FRZOPN,Hours/Hr The Fresh Food Door Is Open,36,,,,,
20,Seconds,SECFRZ,Duration  The Freezer Door Is Open,37,,,,,
1.8333,W,FZASHW,Anti-Sweat Heaters Freezer Cabinet ,38,,,,,
0,W,FZAUXW,Auxiliary Energy Freezer Cabinet  ,39,,,,,
0,W,OTHERW,Auxiliary Energy Outside Cabinet ,40,,,,,
0,W,FZPENA,Freezer  Penetrations,41,,,,,
1.375,W,FZASHQ,Freezer Anti-Sweat Heater,42,,,,,
1.2,W,FZREFQ,Freezer   Refrigerant Line Heat,43,,,,,
0,W,FZHEAT,Freezer   Other Thermal Input ,44,,,,,
