RUN AT 01 47 10 19 Jul 2020 - Python Output aymhenry@gmail
Configration,  4 
Mode,  5 
Value
CERA App from Fortran To Python
Python 3.8.3 
==============
Mode 5
15/7/2020  3:35
Thermal Analysis of a Chest Freezer
 
 , CONFIGURATION TYPE:,4
 
Dimensional specifications
 ,High,  156.210,CM
 ,Wide,  76.200,CM
 ,Deep,  71.750,CM
 ,Outer Liner,   0.500,MM
 ,Inner Liner,   0.500,MM
 
COMPRESSOR COMPARTMENT
 ,Height,  20.000, CM
 ,Width,   20.000, CM
 
INSULATION THICKNESS (CM) 
Freezer
 ,Top,    6.030,CM
 ,Side,   6.030,CM
 ,Front (door),  4.450, CM
 ,Back,   6.030, CM
 ,Bottom,   5.080, CM
 ,Compartment side,   5.080,CM
 ,Compartment top,    5.080,CM
 
VOLUMES
Freezer Refrigerated Volume
  ,Calculated, 532.626, Liter
Specified 
 ,Shelf/Evap , 21.010, Liter
 ,Net volume , 135.070, Liter
Temperatures
  ,Room,                    32.220, DEG C 
  ,Freezer cabinet,        -15.000, DEG C 
  ,Air under refrigerator,  37.800, DEG C 
THERMAL CHARACTERISTICS
Thermal resistivity
  ,Freezer cabinet,        0.5550, m2-C/W-cm
  ,Freezer top (door),     0.5550, m2-C/W-cm
  ,Gasket heat leak,    0.0900, W/m-C
 
Door Openings
  ,Air temperature,     32.2, Deg C 
  ,Relative humidity,   50.0, (%) 
  ,Openings/hr,              0.0,#/HR 
  ,Duration of 1 opening,   20.0,SECONDS 
 
ANTI-SWEAT Heaters
 ,Cabinet,  1.833, W 
 
Auxiliary Energy
  ,Inside cabinet,   0.000, W 
  ,Outside cabinet,  0.000, W 
 
HEAT LEAK BREAKDOWN
 , ,Freezer,(w)
 ,Right wall,     55.49
 ,Left wall,     62.80
 ,Back wall,     62.75
 ,Front (door),     64.29
 ,Top (door),     33.37
 ,Bottom,      8.43
 ,Gasket,     12.57
 ,Open door sensible load,      0.00
 ,Moisture load - condense,      0.00
 ,Moisture load - frost,      0.00
 ,Anti-sweat heater,      1.38
 ,Refrigerant line heat,      1.20
 ,Penetrations,      0.00
 ,Other thermal input,      0.00
Total ,,    298.49
 
HEAT LEAK BREAKDOWN
 ,Description,(W)
 ,Right wall,     55.49
 ,Left wall,     62.80
 ,Back wall,     62.75
 ,Front (door),     64.29
 ,Top (door),     33.37
 ,Bottom,      4.65
 ,Wedge,      0.00
 ,Gasket,     12.57
 ,Open door sensible load,      0.00
 ,Moisture load - condense,      0.00
 ,Moisture load - frost,      0.00
 ,Anti-sweat heater,      1.38
 ,Refrigerant line heat,      1.20
 ,Penetrations,      0.00
 ,Other thermal input,      0.00
Total ,,    298.49
