Value,Unit,Var,Desc,Ser,
CERA App from Fortran To Python,-,Title1,User Comment Line 1,1,Configration   2
Python 3.8.4,-,Title2,User Comment Line 2,2,Save this sheet as CSV 
==============,-,Title3,User Comment Line 3,3,Name : Cabinet_dat.csv
Mode 8,-,Title4,User Comment Line 4,4,
22-06-20 9:20,-,Title5,User Comment Line 5,5,
2,-,IRFTYP,Configration Type,6,
156.21,cm,HEIGHT,Overall Height,7,
76.2,cm,WIDTH,Overall Width,8,
71.75,cm,DEPTH,Overall: Depth,9,
7.62,cm,WEDGE,Freezer Freezer Wedge,10,
3.87,cm,FLANGE,Freezer Freezer Flange,11,
7.62,cm,WEDGER,Freezer Fresh Food Compartment ,12,
3.87,cm,FLANGER,Freezer The Wedge  ,13,
999999,<NA>,DOOREDG,Not Used In Calculation (kept for compatability),14,
1.59,cm,DGSKT,Door Gasket Thickness,15,
0,cm,CDUP,Compressor Compartment Top Depth,16,
0,cm,CDDN,Compressor Compartment Bottom Depth,17,
0,cm,CCHGT,Compressor Compartment Height,18,
0,cm,DOL,Thickness Of Outer Liner,19,
0.555,W/m-C,COL,Resisivity Of Outer Liner ,20,
0,cm,DIL,Thickness Of Inner Liner,21,
0.555,W/m-C,CIL,Resisivity Of Inner Liner ,22,
45.72,cm,TOPMUL,Top Of The Mullion From The Top Of The Cabinet,23,
6.35,cm,THMUL,The Mullion Thickness,24,
6.03,cm,TIFRS,Insulation Thickness Freezer Right Side,25,
4.45,cm,TIFF,Insulation Thickness Freezer Front  Front (Door),26,
6.03,cm,TIFB,Insulation Thickness Freezer Back,27,
4.76,cm,TIRT,Insulation Thickness  Fresh Food Top,28,
4.76,cm,TIRLS,Insulation Thickness  Fresh Food Left Side,29,
4.45,cm,TIRF,Insulation Thickness  Fresh Food Front (Door),30,
4.76,cm,TIRB,Insulation Thickness  Fresh Food Back,31,
5.08,cm,BINSUL,Insulation Thickness  Fresh Food Bottom,32,
21.01,liter,HXVUZ,Freezer Refrigerated Volume Shelf/Evap,33,
135.07,liter,VOLAZ,Freezer Refrigerated Volume Net Volume,34,
18.34,liter,HXVUR,Refrigerated Volume Shelf/Evap,35,
394.79,liter,VOLAR,Refrigerated Volume Net Volume,36,
32.22,C,TROOM,Temperatures Room,37,
-15,C,TFRZ,Temperatures Freezer Cabinet ,38,
3.33,C,TFF,Temperatures  Fresh Food Cabinet  ,39,
37.8,C,TBTM,Temperatures  Air Under Refrigerator,40,
0.555,W/m-C,RKINFF,"Insulation  Resisivity For The Sides, Back, Top And Bottom Of The Fresh Food Compartment",41,
0.555,W/m-C,RKINFZ,Insulation  Resisivity  For The Freezer,42,
0.555,W/m-C,WKINR,Thermal Resisivity Of Fresh Food Wedge Insulation,43,
0.555,W/m-C,WKIN,Thermal Resisivity Of Freezer Wedge Insulation,44,
0.555,W/m-C,DKINFF,Fresh Food Door Insulation Resisivity.,45,
0.555,W/m-C,DKINFZ,Fresh Freezer Insulation Resisivity.,46,
0.555,W/m-C,CKMUL,Thermal Resisivity Of The Mullion Insulation,47,
0.09,W/m-C,HLGZF,Fan Off Gasket Heat Leak For Freezer Compartment For,48,
0.09,W/m-C,HLRG,Gasket Heat Leak Refrigerator,49,
32.2,C,TDRAIR,Door Openings Air Temperature,50,
50,%,RELHUM,Door Openings  Relative Humidity ,51,
0,-,FFCOPN,Fresh Food Compartment Openings #/Hr,52,
15,Seconds,SECFFC,Fresh Food Compartment Duration Of 1 Opening  ,53,
0,Seconds,FRZOPN,Hours/Hr The Fresh Food Door Is Open,54,
20,Seconds,SECFRZ,Duration  The Freezer Door Is Open,55,
0.9167,W,FFASHW,Anti-Sweat Heaters Fresh Food Cabinet ,56,
1.8333,W,FZASHW,Anti-Sweat Heaters Freezer Cabinet ,57,
0,W,FFAUXW,Auxiliary Energy Fresh Food Cabine  ,58,
0,W,FZAUXW,Auxiliary Energy Freezer Cabinet  ,59,
0,W,OTHERW,Auxiliary Energy Outside Cabinet ,60,
0,W,FFPENA,Fresh Food Penetrations,61,
0,W,FZPENA,Freezer  Penetrations,62,
0.6875,W,FFASHQ, Fresh Food Anti-Sweat Heater,63,
1.375,W,FZASHQ, Freezer  Anti-Sweat Heater,64,
0,W,FFREFQ,Fresh Food  Refrigerant Line Heat,65,
1.2,W,FZREFQ,Freezer   Refrigerant Line Heat,66,
0,W,FFHEAT,Fresh Food Other Thermal Input ,67,
0,W,FZHEAT,Freezer   Other Thermal Input ,68,
