Value,Unit,Variable,Description,Error Check,Group,Link,,,,
MODEL D (TOP MOUNT) ,,TITLE,MULTIPLE PATHWAYS BASELINE PROTOTYPE,,,,,,,
Cycle Data,,TITLE2,Title of report,,,,,,,
MODEL_D.ERA,,FILERA,FILE NAME,,,,,,,
ABB_EMX70HSC,,FILE_NAME,Map file Name as gien by code in cell A22,,,,,,,
0,#,IDFRST,Manual Defrost,,,1,,,,
1,#,N_EVAP,Number of Zones on Evaporator,,Evaporator and Condenser Zones,,,,,
1,#,N_COND,Number of Zones on Condenser,,,,,,,
1,#,ICOMP,Compressor Type,,Compressor Options,1,,,,
2,#,T_CYCLE,Cycles Per Hour,,,,,,,
0,#,I_VALVE,Shut-Off Valve ,,,1,,,,
1,#,FILE_NAME_code,file name for map file,,For IMAP=0 only,,,,,
2,#,REF,Code (IR(1)) For 1st Refrigerant  ,,Refrigerant Data,,,,,
0,#,ICONDI[1],Heat Exchanger Configuration,,Condenser Parameters,1,,,,
35,DEG C,TS1[1],Temp Of Air Entering Condenser,,,,,,,
42.476,L/s,CFMCI[1],Air Flow Rate Across Coil ,,,,,,,
12,watt,FNPWRC[1],Condenser Fan Power,,,,,,,
4.72,kpa,DPC[1],Pressure Drop Through Condenser,,,,,,,
15.167,W/m2-c,UDSCI[1],Desuperheating Heat Transfer Conductance,,,,,,,
19.227,W/m2-c,UTPCI[1],Two-Phase Heat Transfer Conductance,,,,,,,
15.434,W/m2-c,USCCI[1],Subcooling Heat Transfer Conductance,,,,,,,
0.849,m2,ATOTCI[1],Condenser total Heat Transfer Surface Area,,,,,,,
0,DEG C,DTSBCI[1],Delta T Refrigerant Exit Subcooling,,,,,,,
4,watt,CONDHT[1],Liquid-Line Anti-Sweat Heat,,,,,,,
0,watt,CONDVP[1],Vapor-Line Anti-Sweat Heat,,,,,,,
1,#,ISPECI[1],Evaporator Specification,,Evaporator Parameters,1,,,,
0,#,IFRSHI[1],Heat Exchanger Configuration,,,1,,,,
-11.334,DEG C,TS3[1],Temp Of Air Entering Fresh Food Section Evaporator,,,,,,,
23.6,L/s,CFMEI[1],Air Flow Rate Across Coil ,,,,,,,
9.4,watt,FNPWRE[1],Evaporator Fan Power ,,,,,,,
7.2,kPa,DPE[1],Pressure Drop Through Fresh Food Evaporator ,,,,,,,
13.787,W/m2-c,UTPEI[1],Two-Phase Heat Transfer Conductance,,,,,,,
5.633,W/m2-c,USUPEI[1],Superheat Region Conductance,,,,,,,
2.338,m2,ATOTEI[1],"Evaporator total Heat Transfer Surface Area, M2",,,,,,,
3,#,DTSPEI[1],Refrigerant Exit Superheat,,,,,,,
1,#,QUALITY[1],Refrigerant Exit Superheat Quality (0-1),"Required only if ISPECI=3, Value 0 to 1",,,,,,
5.8,kg/hr,MREFI[1],Initial Guess For Refrigerant Mas Flow Rate , ,Compressor Parameters,,,,,
3450,rpm,SPEEDI[1],Nominal Speed,   ,,,,,,
-1,DEG C,TSPECI[1],Temp. At Comp. Inlet  [-1 If Unspecified],,,,,,,
0,DEG C,SUPIHX[1],Interchanger deta-T superheat, ,INTERCHANGER DATA,,,,,
0.8,#,ETHX[1],Effectiveness Of High Temp Interchanger ,,,,,,,
0,W/K,UA_FF,Evap: A/R In Fresh Food Section (Or Cabinet Walls),Expected units is kw,In-Wall Evaporator Data,,,,,
0,W/K,UA_FZ,Evap: A/R In Freezer Section Walls (If Separate Section),"see Eracyc.for line 359,",,,,,,
0,W/K,UA_ML,Evap: A/R In Mullion Section (If Present),convert from sec.K/kj to sec.F/Btu 1.897,,,,,,
0,W/K,UA_FF_CND,Cond: A/R In Fresh Food Section (Or Cabinet Walls),,,,,,,
0,W/K,UA_FZ_CND,Cond: A/R In Freezer Section Walls (If Separate Section),,,,,,,
0,W/K,UA_FF_HXS,Both: A/R In Fresh Food Section (Or Cabinet Walls),,,,,,,
0,W/K,UA_FZ_HXS,Both: A/R In Freezer Section Walls (If Separate Section),,,,,,,
0,watt,FRACT_FF,Fraction Of Fresh Food Section (Or Cabinet Walls),,,2,,,,
0,watt,FRACT_FZ,Fraction Of Freezer Section Walls (Including Mullion),,,,,,,
0,#,IWALL_FF,FF (Or Cabinet) Evaporator Behind Liner,,,1,,,,
0,#,IWALL_FZ,FZ Evaporator Behind Liner,,,1,,,,
7.5,watt,DFSTCYC,Closed-Door Automatic Defrost,,Cycle-Dependent Electrical Energy Data,,,,,
0,watt,FFCYC,Fresh Food Section,,"For IRFTTP=1,2,3 or 7 only",,,,,
0,watt,FZCYC,Freezer Section,,"For IRFTTP=4,5,6 only",,,,,
1.5,watt,OUTCYC,Outside Cabinet,,,,,,,
1,#,ICAB,"Flag to represent presence of cabinet loads in input, 0 =No",,Cabinet Loads Data,,,,,
    
