Value,Unit,Var,Desc,Ser,,,,,
CERA App from Fortran To Python,-,Title1,User Comment Line 1,1,Configration   6,,,,
Python 3.8.3 ,-,Title2,User Comment Line 2,2,Save this sheet as CSV ,,,,
==============,-,Title3,User Comment Line 3,3,Name : Cabinet_dat.csv,,,,
Mode 4,-,Title4,User Comment Line 4,4,,,,,
15/7/2020  3:37,-,Title5,User Comment Line 5,5,,Other Information,,,
6,-,IRFTYP,Configration Type,6,,Configration 6,,,Mode 4
156.21,cm,HEIGHT,Overall Height,7,,6: One door refrigerator,,,
76.2,cm,WIDTH,Overall Width,8,,,Mode :4,Single - door refrigerator,
71.75,cm,DEPTH,Overall: Depth,9,,,,,
7.62,cm,WEDGE,Freezer Freezer Wedge,10,,,,,
3.87,cm,FLANGE,Freezer Freezer Flange,11,,,,,
999999,<NA>,DOOREDG,Not Used In Calculation (kept for compatability),12,,,,,
1.59,cm,DGSKT,Door Gasket Thickness,13,,,,,
0,cm,CDUP,Compressor Compartment Top Depth,14,,,,,
0,cm,CDDN,Compressor Compartment Bottom Depth,15,,,,,
0,cm,CCHGT,Compressor Compartment Height,16,,,,,
0.5,mm,DOL,Thickness Of Outer Liner,17,,,,,
41,W/m-C,COL,Outer Liner Thermal Conductivity,18,,,,,
0.5,mm,DIL,Thickness Of Inner Liner,19,,,,,
41,W/m-C,CIL,Inner Liner Thermal Conductivity,20,,,,,
6.03,cm,TIFT,Insulation Thickness Freezer Top,21,,,,,
6.03,cm,TIFLS,Insulation Thickness Freezer Left Side,22,,,,,
6.03,cm,TIFRS,Insulation Thickness Freezer Right Side,23,,,,,
4.45,cm,TIFF,Insulation Thickness Freezer Front  Front (Door),24,,,,,
6.03,cm,TIFB,Insulation Thickness Freezer Back,25,,,,,
5.08,cm,BINSUL,Insulation thickness on the bottom,26,,,,,
5.53,cm,CINSUL,Cinsul-Thickness Of Insulation Over Compressor ,27,,,,,
21.01,liter,HXVUZ,Freezer Refrigerated Volume Shelf/Evap,28,,,,,
135.07,liter,VOLAZ,Freezer Refrigerated Volume Net Volume,29,,,,,
18.34,liter,HXVUR,Refrigerated Volume Shelf/Evap,30,,,,,
394.79,liter,VOLAR,Refrigerated Volume Net Volume,31,,,,,
130,cm,FH,Hight Freezer Compartment In A Single-Door Refrigerator.,32,,,,,
150,cm,FW,Width Freezer Compartment In A Single-Door Refrigerator.,33,,,,,
70,cm,FD,Depth Freezer Compartment In A Single-Door Refrigerator.,34,,,,,
32.22,C,TROOM,Temperatures Room,35,,,,,
-15,C,TFRZ,Temperatures Freezer Cabinet ,36,,,,,
3.33,C,TFF,Temperatures  Fresh Food Cabinet  ,37,,,,,
37.8,C,TBTM,Temperatures  Air Under Refrigerator,38,,,,,
0.555,cm.W/m2-C,RCAB,Thermal Conductivity Of Refrigerator Insulation,39,,,,,
0.555,m2-C/cm.W,RWEDGE,Thermal Resistivity  Of Freezer Wedge Insulation,40,,,,,
0.555,cm.W/m2-C,RDOOR,Thermal Conductivity Of The Door,41,,,,,
0.09,W/M-DEG-C,HLFZG,Gasket Heat Leak Freezer Conductivity,42,,,,,
32.2,C,TDRAIR,Door Openings Air Temperature,43,,,,,
50,%,RELHUM,Door Openings  Relative Humidity ,44,,,,,
0,Seconds,FRZOPN,Hours/Hr The Fresh Food Door Is Open,45,,,,,
20,Seconds,SECFRZ,Duration  The Freezer Door Is Open,46,,,,,
1.8333,W,FZASHW,Anti-Sweat Heaters Freezer Cabinet ,47,,,,,
0,W,FZAUXW,Auxiliary Energy Freezer Cabinet  ,48,,,,,
0,W,OTHERW,Auxiliary Energy Outside Cabinet ,49,,,,,
0,W,FZPENA,Freezer  Penetrations,50,,,,,
1.375,W,FZASHQ,Freezer Anti-Sweat Heater,51,,,,,
1.2,W,FZREFQ,Freezer   Refrigerant Line Heat,52,,,,,
0,W,FZHEAT,Freezer   Other Thermal Input ,53,,,,,
